Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/button_DISMISS""))",Chrome 114.0.0.0,,,2023-06-14 14:24:12,2023-06-14 14:24:13,1.118s,PASSED
"click(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/div_Already subscribe to YES NetworkLOGIN W_e9acde""))",Chrome 114.0.0.0,,,2023-06-14 14:24:13,2023-06-14 14:24:14,0.653s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/div_Already subscribe to YES NetworkLOGIN W_e9acde""), 0)",Chrome 114.0.0.0,,,2023-06-14 14:24:14,2023-06-14 14:24:14,0.310s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/button_SUBSCRIBE NOW""), 0)",Chrome 114.0.0.0,,,2023-06-14 14:24:14,2023-06-14 14:24:15,0.706s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/button_LOGIN WITH TV PROVIDER""), 0)",Chrome 114.0.0.0,,,2023-06-14 14:24:15,2023-06-14 14:24:15,0.275s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/button_LOGIN WITH YES APP ACCOUNT""), 0)",Chrome 114.0.0.0,,,2023-06-14 14:24:15,2023-06-14 14:24:15,0.281s,PASSED
"click(findTestObject(""Object Repository/Launch/Page_Watch  YES Network/div_Already subscribe to YES NetworkLOGIN W_e9acde""))",Chrome 114.0.0.0,,,2023-06-14 14:24:15,2023-06-14 14:24:16,0.290s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-14 14:24:16,2023-06-14 14:24:16,0.357s,PASSED
,,,,,,,
Test Cases/DTC_Subscribe_Registartion,Chrome 114.0.0.0,,,2023-06-14 14:24:16,2023-06-14 14:24:58,41.449s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 14:24:16,2023-06-14 14:24:18,1.735s,PASSED
"navigateToUrl(""https://qa.watchyesnetwork.com/"")",Chrome 114.0.0.0,,,2023-06-14 14:24:18,2023-06-14 14:24:24,6.163s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:24:24,2023-06-14 14:24:24,0.012s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_DISMISS""))",Chrome 114.0.0.0,,,2023-06-14 14:24:24,2023-06-14 14:24:25,1.109s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_SUBSCRIBE NOW""))",Chrome 114.0.0.0,,,2023-06-14 14:24:25,2023-06-14 14:24:26,0.700s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Name_name""), ""Djay"")",Chrome 114.0.0.0,,,2023-06-14 14:24:26,2023-06-14 14:24:28,1.474s,PASSED
RN = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 114.0.0.0,,,2023-06-14 14:24:28,2023-06-14 14:24:28,0.001s,PASSED
RN = Math.random() * 5000,Chrome 114.0.0.0,,,2023-06-14 14:24:28,2023-06-14 14:24:28,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Email Address_email""), ""Djay+test"" + RN + ""@amdocs.com"")",Chrome 114.0.0.0,,,2023-06-14 14:24:28,2023-06-14 14:24:28,0.649s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 114.0.0.0,,,2023-06-14 14:24:28,2023-06-14 14:24:29,0.370s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/div_Date of Birth""))",Chrome 114.0.0.0,,,2023-06-14 14:24:29,2023-06-14 14:24:29,0.546s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Date of Birth_dob""), ""2000/01/01"")",Chrome 114.0.0.0,,,2023-06-14 14:24:29,2023-06-14 14:24:30,0.560s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/select_OptionalMaleFemaleOtherPrefer not to answer""), ""Male"", true)",Chrome 114.0.0.0,,,2023-06-14 14:24:30,2023-06-14 14:24:30,0.843s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:24:30,2023-06-14 14:24:31,0.323s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:24:31,2023-06-14 14:24:31,0.011s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Name on Card_nameOnCard""), ""Djay"")",Chrome 114.0.0.0,,,2023-06-14 14:24:31,2023-06-14 14:24:34,2.975s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Credit Card Number_cardNumber""), ""4242 4242 4242 4242"")",Chrome 114.0.0.0,,,2023-06-14 14:24:34,2023-06-14 14:24:34,0.602s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Exp MMYY_expiryDate""), ""01/24"")",Chrome 114.0.0.0,,,2023-06-14 14:24:34,2023-06-14 14:24:35,0.453s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_CVV_securityCode""), ""AbZbeXpnEm4="")",Chrome 114.0.0.0,,,2023-06-14 14:24:35,2023-06-14 14:24:35,0.422s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_239.99_termsconditions""))",Chrome 114.0.0.0,,,2023-06-14 14:24:35,2023-06-14 14:24:36,0.430s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/span_Subscribe Now""))",Chrome 114.0.0.0,,,2023-06-14 14:24:36,2023-06-14 14:24:36,0.432s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_CONTINUE""))",Chrome 114.0.0.0,,,2023-06-14 14:24:36,2023-06-14 14:24:40,3.489s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_Brooklyn-Nets""))",Chrome 114.0.0.0,,,2023-06-14 14:24:40,2023-06-14 14:24:41,1.193s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_NewYork-Liberty""))",Chrome 114.0.0.0,,,2023-06-14 14:24:41,2023-06-14 14:24:41,0.540s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:24:41,2023-06-14 14:24:42,0.291s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_Ill do this later""))",Chrome 114.0.0.0,,,2023-06-14 14:24:42,2023-06-14 14:24:42,0.823s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/span_MAYBE LATER""))",Chrome 114.0.0.0,,,2023-06-14 14:24:42,2023-06-14 14:24:43,0.672s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:24:43,2023-06-14 14:24:46,3.024s,PASSED
refresh(),Chrome 114.0.0.0,,,2023-06-14 14:24:46,2023-06-14 14:24:46,0.028s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:24:46,2023-06-14 14:24:49,3.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/h3_On Now""), ""ON NOW"")",Chrome 114.0.0.0,,,2023-06-14 14:24:49,2023-06-14 14:24:50,1.181s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/img""))",Chrome 114.0.0.0,,,2023-06-14 14:24:50,2023-06-14 14:24:53,2.757s,PASSED
"verifyElementText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/span_Manage Subscription""), ""Manage Subscription"")",Chrome 114.0.0.0,,,2023-06-14 14:24:53,2023-06-14 14:24:54,0.848s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/div_Manage Subscription""))",Chrome 114.0.0.0,,,2023-06-14 14:24:54,2023-06-14 14:24:55,0.834s,PASSED
"verifyElementText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/button_CHANGE PLAN""), ""CHANGE PLAN"")",Chrome 114.0.0.0,,,2023-06-14 14:24:55,2023-06-14 14:24:56,0.716s,PASSED
"verifyElementText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/div_MANAGE SUBSCRIPTION (1)""), ""MANAGE SUBSCRIPTION"")",Chrome 114.0.0.0,,,2023-06-14 14:24:56,2023-06-14 14:24:56,0.281s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/svg""))",Chrome 114.0.0.0,,,2023-06-14 14:24:56,2023-06-14 14:24:56,0.322s,PASSED
"click(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/div_Log Out""))",Chrome 114.0.0.0,,,2023-06-14 14:24:56,2023-06-14 14:24:57,0.561s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-14 14:24:57,2023-06-14 14:24:58,0.861s,PASSED
,,,,,,,
Test Cases/Subscription_Watch_Tab,Chrome 114.0.0.0,,,2023-06-14 14:24:58,2023-06-14 14:26:20,1m - 22.472s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 14:24:58,2023-06-14 14:25:00,2.141s,PASSED
"navigateToUrl(""https://qa.watchyesnetwork.com/"")",Chrome 114.0.0.0,,,2023-06-14 14:25:00,2023-06-14 14:25:06,5.591s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:25:06,2023-06-14 14:25:06,0.016s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_DISMISS""))",Chrome 114.0.0.0,,,2023-06-14 14:25:06,2023-06-14 14:25:06,0.738s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_SUBSCRIBE NOW""))",Chrome 114.0.0.0,,,2023-06-14 14:25:06,2023-06-14 14:25:07,0.872s,PASSED
"setText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_Name_name""), ""djay"")",Chrome 114.0.0.0,,,2023-06-14 14:25:07,2023-06-14 14:25:08,1.127s,PASSED
RN = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 114.0.0.0,,,2023-06-14 14:25:08,2023-06-14 14:25:08,0.000s,PASSED
RN = Math.random() * 5000,Chrome 114.0.0.0,,,2023-06-14 14:25:08,2023-06-14 14:25:08,0.000s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Email Address_email""), ""Djay+test"" + RN + ""@amdocs.com"")",Chrome 114.0.0.0,,,2023-06-14 14:25:08,2023-06-14 14:25:09,0.958s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 114.0.0.0,,,2023-06-14 14:25:09,2023-06-14 14:25:10,0.382s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/div_Date of Birth""))",Chrome 114.0.0.0,,,2023-06-14 14:25:10,2023-06-14 14:25:10,0.583s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Date of Birth_dob""), ""2000/01/01"")",Chrome 114.0.0.0,,,2023-06-14 14:25:10,2023-06-14 14:25:11,0.570s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/select_OptionalMaleFemaleOtherPrefer not to answer""), ""Male"", true)",Chrome 114.0.0.0,,,2023-06-14 14:25:11,2023-06-14 14:25:12,1.016s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:25:12,2023-06-14 14:25:12,0.338s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_NOT INTERESTED""))",Chrome 114.0.0.0,,,2023-06-14 14:25:12,2023-06-14 14:25:16,4.314s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_Brooklyn-Nets""))",Chrome 114.0.0.0,,,2023-06-14 14:25:16,2023-06-14 14:25:18,1.576s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_NewYork-Liberty""))",Chrome 114.0.0.0,,,2023-06-14 14:25:18,2023-06-14 14:25:19,0.517s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:25:19,2023-06-14 14:25:19,0.296s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_Ill do this later""))",Chrome 114.0.0.0,,,2023-06-14 14:25:19,2023-06-14 14:25:20,0.846s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/span_MAYBE LATER""))",Chrome 114.0.0.0,,,2023-06-14 14:25:20,2023-06-14 14:25:20,0.686s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:25:20,2023-06-14 14:25:20,0.015s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_SUBSCRIBE NOW""))",Chrome 114.0.0.0,,,2023-06-14 14:25:20,2023-06-14 14:25:52,31.659s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_SUBSCRIBE""))",Chrome 114.0.0.0,,,2023-06-14 14:25:52,2023-06-14 14:25:53,0.585s,PASSED
"setText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_Name on Card_nameOnCard""), ""djay"")",Chrome 114.0.0.0,,,2023-06-14 14:25:53,2023-06-14 14:25:54,1.545s,PASSED
"setText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_Credit Card Number_cardNumber""), ""4242 4242 4242 4242"")",Chrome 114.0.0.0,,,2023-06-14 14:25:54,2023-06-14 14:25:55,0.620s,PASSED
"setText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_Exp MMYY_expiryDate""), ""01/24"")",Chrome 114.0.0.0,,,2023-06-14 14:25:55,2023-06-14 14:25:55,0.532s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_CVV_securityCode""), ""AbZbeXpnEm4="")",Chrome 114.0.0.0,,,2023-06-14 14:25:55,2023-06-14 14:25:56,0.428s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/input_19.99_termsconditions""))",Chrome 114.0.0.0,,,2023-06-14 14:25:56,2023-06-14 14:25:56,0.418s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_Subscribe Now (1)""))",Chrome 114.0.0.0,,,2023-06-14 14:25:56,2023-06-14 14:25:57,0.453s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:25:57,2023-06-14 14:25:57,0.012s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_CONTINUE""))",Chrome 114.0.0.0,,,2023-06-14 14:25:57,2023-06-14 14:26:01,4.336s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:26:01,2023-06-14 14:26:04,3.005s,PASSED
refresh(),Chrome 114.0.0.0,,,2023-06-14 14:26:04,2023-06-14 14:26:04,0.016s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-14 14:26:04,2023-06-14 14:26:07,3.007s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/h3_On Now""), 0)",Chrome 114.0.0.0,,,2023-06-14 14:26:07,2023-06-14 14:26:16,8.545s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/img""))",Chrome 114.0.0.0,,,2023-06-14 14:26:16,2023-06-14 14:26:17,1.114s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/div_Manage Subscription""))",Chrome 114.0.0.0,,,2023-06-14 14:26:17,2023-06-14 14:26:17,0.564s,PASSED
"verifyElementText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/button_CHANGE PLAN""), ""CHANGE PLAN"")",Chrome 114.0.0.0,,,2023-06-14 14:26:17,2023-06-14 14:26:18,0.817s,PASSED
"verifyElementText(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/div_MANAGE SUBSCRIPTION (1)""), ""MANAGE SUBSCRIPTION"")",Chrome 114.0.0.0,,,2023-06-14 14:26:18,2023-06-14 14:26:18,0.274s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/svg""))",Chrome 114.0.0.0,,,2023-06-14 14:26:18,2023-06-14 14:26:19,0.325s,PASSED
"click(findTestObject(""Object Repository/Watch_Screen_Subscribe/Page_Watch  YES Network/div_Log Out""))",Chrome 114.0.0.0,,,2023-06-14 14:26:19,2023-06-14 14:26:19,0.547s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-14 14:26:19,2023-06-14 14:26:20,0.866s,PASSED
,,,,,,,
Test Cases/Subscribe_Settings,Chrome 114.0.0.0,,,2023-06-14 14:26:20,2023-06-14 14:28:04,1m - 43.813s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 14:26:20,2023-06-14 14:26:22,1.884s,PASSED
"navigateToUrl(""https://qa.watchyesnetwork.com/"")",Chrome 114.0.0.0,,,2023-06-14 14:26:22,2023-06-14 14:26:28,5.697s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:26:28,2023-06-14 14:26:28,0.012s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_DISMISS""))",Chrome 114.0.0.0,,,2023-06-14 14:26:28,2023-06-14 14:26:29,1.209s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_SUBSCRIBE NOW""))",Chrome 114.0.0.0,,,2023-06-14 14:26:29,2023-06-14 14:26:30,0.740s,PASSED
"setText(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_Name_name""), ""djay"")",Chrome 114.0.0.0,,,2023-06-14 14:26:30,2023-06-14 14:26:31,1.053s,PASSED
RN = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 114.0.0.0,,,2023-06-14 14:26:31,2023-06-14 14:26:31,0.000s,PASSED
RN = Math.random() * 5000,Chrome 114.0.0.0,,,2023-06-14 14:26:31,2023-06-14 14:26:31,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Email Address_email""), ""Djay+set"" + RN + ""@amdocs.com"")",Chrome 114.0.0.0,,,2023-06-14 14:26:31,2023-06-14 14:26:31,0.662s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 114.0.0.0,,,2023-06-14 14:26:31,2023-06-14 14:26:32,0.567s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/div_Date of Birth""))",Chrome 114.0.0.0,,,2023-06-14 14:26:32,2023-06-14 14:26:33,0.522s,PASSED
"setText(findTestObject(""Object Repository/Registration_Subscribe/Page_Watch  YES Network/input_Date of Birth_dob""), ""2000/01/01"")",Chrome 114.0.0.0,,,2023-06-14 14:26:33,2023-06-14 14:26:33,0.575s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/select_OptionalMaleFemaleOtherPrefer not to answer""), ""Male"", true)",Chrome 114.0.0.0,,,2023-06-14 14:26:33,2023-06-14 14:26:34,0.841s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:26:34,2023-06-14 14:26:34,0.337s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_NOT INTERESTED""))",Chrome 114.0.0.0,,,2023-06-14 14:26:34,2023-06-14 14:26:38,3.334s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_Brooklyn-Nets""))",Chrome 114.0.0.0,,,2023-06-14 14:26:38,2023-06-14 14:26:39,0.837s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_NewYork-Liberty""))",Chrome 114.0.0.0,,,2023-06-14 14:26:39,2023-06-14 14:26:39,0.518s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:26:39,2023-06-14 14:26:39,0.303s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/button_Ill do this later""))",Chrome 114.0.0.0,,,2023-06-14 14:26:39,2023-06-14 14:26:40,1.077s,PASSED
"click(findTestObject(""Object Repository/Registration_Settings/Page_Watch  YES Network/span_MAYBE LATER""))",Chrome 114.0.0.0,,,2023-06-14 14:26:40,2023-06-14 14:26:41,0.659s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:26:41,2023-06-14 14:26:41,0.031s,PASSED
